Metric,chatgpt4,claude,deepseek,gemini,llama4
pass,954,864,707,672,401
Correct_Assertion,61.55%,55.74%,45.61%,43.35%,25.87%
Incorrect_Assertion,33.81%,34.39%,41.94%,40.71%,50.39%
Failed_Generation,4.65%,9.87%,12.45%,15.94%,23.74%
assertion_misjudgment,270,267,404,387,606
assertion_invalid,254,266,246,244,175
success_generated,1478,1397,1357,1303,1182
generation_error,72,77,46,147,260
format_error,0,76,147,100,108
total,1550,1550,1550,1550,1550
high_pass_tasks,16,15,13,12,8
medium_pass_tasks,7,7,5,5,4
low_pass_tasks,8,9,13,14,19
avg_pass@1_success,62.43%,57.01%,50.08%,47.02%,31.99%
avg_pass@5_success,79.71%,70.59%,64.98%,55.52%,45.07%
